	method	insert mean	insert std	delete mean	delete std	irof mean	irof std
0	gradientshap	0.5661378596566642	0.4275356523668822	0.12262692746087178	0.18492495596228936	0.7318578835130791	0.21319927618089698
1	deeplift	0.5762405555663498	0.4878014038173686	0.15320759594811553	0.24165011249486992	0.7439449665209	0.2181852225053888
2	lime	0.767613661340717	0.3513356203292105	0.16182492284461106	0.165633885428315	0.8092859602478855	0.17716385921777975
3	saliency	0.4018637173982862	0.3243672255125322	0.30862686170114906	0.26462786006004857	0.6214942665054572	0.23578098388842583
4	smoothgrad	0.4694875292492515	0.20252707925385588	0.32467273770125893	0.20858569763618345	0.6490171014141374	0.23436942925645937
5	integrated_gradients	0.6169952242276622	0.4722142718137044	0.13509323800264694	0.27194218176188356	0.7889117559540932	0.146297958711888
6	guidedbackprop	0.5065071129003662	0.3971113115066661	0.4344133025168704	0.32863901042738247	0.6626087104316423	0.2256619757967248
7	gray_image	0.46862642787820785	0.28931590800451806	0.4220762461684565	0.23867099631981287	0.5209175060945246	0.2777321020000036
8	mean	0.7270878859834097	0.35278664617960176	0.15676436076056083	0.2283261892028484	0.7114777094823125	0.21482537668850443
9	variance	0.40103030510523396	0.2703072877107332	0.5054757899515806	0.23541675446718893	0.5865473683353344	0.27081841704518433
10	rbm	0.11779722587058787	0.20811165073918025	0.7310842186125559	0.4082332051379571	0.24125852267857337	0.3131986681389531
11	flipped_rbm	0.7318360046267953	0.40800508947885	0.11706936267777553	0.208312247790856	0.749510689072219	0.1998558062139383
12	rbm_flip_detection	0.7257146252244379	0.4158644747531723	0.12319251718430262	0.21063599340984743	0.7242553652421583	0.23172422908678791
13	rbm_ideal	0.7328980939016196	0.40619509931797765	0.11601178289510006	0.2087119197362787	0.749510689072219	0.1998558062139383
