,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.6112936863873821,0.42032042169208833,0.22410615861834768,0.29180335989334394,0.7084956675054777,0.24221770991561825
1,deeplift,0.6185805927449073,0.41951735858228983,0.2292485678176369,0.29547667512261466,0.719303698284707,0.23534727729616617
2,lime,0.7964462780534769,0.3094073571000109,0.2275049257447788,0.2311720904122496,0.7507021471387837,0.2295468416523607
3,saliency,0.49824833998516477,0.3456797985062899,0.3665385572766393,0.3231561042204251,0.6001900910265635,0.2700672473494872
4,smoothgrad,0.6031174944233311,0.2593373727161909,0.3820492887629294,0.29281084396889273,0.5974478358853986,0.2805578745389471
5,integrated_gradients,0.6579996861359386,0.4225387901537583,0.1930972675904049,0.27114506673950206,0.7383454461658796,0.22775563885858235
6,guidedbackprop,0.5420458958924712,0.3754433641319743,0.490314018275522,0.36413886640928156,0.6194346858221482,0.26955815214496043
7,gray_image,0.5189118151087464,0.32490644260468454,0.5250608065124183,0.3368997644594979,0.45298012909410934,0.3131986985309667
8,mean,0.794356100120468,0.3273755416686483,0.24789518983186062,0.2804799161940286,0.6817325543583024,0.26442620381598675
9,variance,0.623830970148688,0.3624183878227567,0.39331894854996646,0.3131823550994212,0.6134049306387086,0.2919441885370294
10,rbm,0.18295865382546647,0.24544290224619075,0.7726333192334394,0.3721137166011024,0.1723538970046965,0.24423786987978605
11,flipped_rbm,0.7734112788461506,0.37205382039084467,0.18222250478248325,0.2455270249690524,0.7472656154989434,0.22540323998078368
12,rbm_flip_detection,0.7619923491474486,0.3788670014279873,0.1936401666446817,0.2615154274203732,0.7352059404965647,0.24093005689078095
13,rbm_ideal,0.774908654543729,0.3712503471992804,0.18072382279970153,0.24311832716825058,0.7501177275297518,0.2190522877045124
