,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.561944501186976,0.3768678917285132,0.19947499747501538,0.2650587645747045,0.715495845373499,0.23899064746717666
1,deeplift,0.5719498373019486,0.38043808297369763,0.20116621087004916,0.2644718477436255,0.7272992716910215,0.23084657967554
2,lime,0.7517603884086633,0.27668288419207887,0.2278569178924911,0.2274564808404613,0.7444657432475145,0.22855506281087176
3,saliency,0.4893801787010266,0.3268041626321569,0.314192595350984,0.28123258751854163,0.636432282181735,0.251940283882975
4,smoothgrad,0.6304356773733972,0.24916599252719568,0.34946898685083927,0.2730528634718273,0.628156677008146,0.2597543754459837
5,integrated_gradients,0.6030172059255264,0.3805587308774462,0.16969611913453675,0.24363200961331063,0.7424669818398396,0.22743292794343564
6,guidedbackprop,0.5093965382713909,0.3470099174979011,0.4703853296653076,0.32957410177046537,0.646668521272161,0.2534921672656498
7,mean,0.7721907363170416,0.2868524358526409,0.19798308064385384,0.24081258491374,0.7277847439233147,0.2400003074247374
8,variance,0.7685121303696157,0.29208787168988143,0.1928516977804404,0.23836042235471772,0.7315852080199918,0.23788734872202325
9,rbm,0.16639860816690116,0.22803089031209445,0.6965229140014497,0.3600012956324065,0.22238743966697044,0.20027122580952833
10,flipped_rbm,0.6973287873634055,0.3599472105450157,0.16561976276004314,0.22810928747310233,0.7513593950279269,0.22281260788074553
11,rbm_flip_detection,0.6973287873634055,0.3599472105450157,0.16561976276004314,0.22810928747310233,0.7513593950279269,0.22281260788074553
12,rbm_ideal,0.6987005054195534,0.35915923202561667,0.16424775957399976,0.22613896827149582,0.7526954894295513,0.22111765973984188
