,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.6105015999912266,0.4130496575809335,0.22552347677748974,0.28924616845021667,0.713466865785551,0.2387149384767216
1,deeplift,0.6121709390619205,0.4107530865682064,0.22657177457165278,0.29280213442966285,0.7240073940680916,0.23407159809357672
2,lime,0.8019328295747269,0.3125233969147557,0.2222142069037001,0.22648137613895805,0.7553801685815449,0.23140669202074884
3,saliency,0.48746315523033734,0.3394364768263656,0.3532993127551593,0.3131996348567189,0.6070778992911635,0.26680187057895904
4,smoothgrad,0.5979883196045116,0.26595053466431223,0.3789036054742023,0.2926516430183972,0.6012602292839337,0.27763255251229335
5,integrated_gradients,0.6567021718341302,0.4146423538666229,0.1914878812896119,0.26367610232989824,0.7423791309764868,0.22695309387068793
6,guidedbackprop,0.5378228436224312,0.37836358401854303,0.48521590627256017,0.359894768398826,0.6301069408968945,0.2631998386967348
7,gray_image,0.5087142214499737,0.32579659285869894,0.5142109931404902,0.3366520311596869,0.45736242699060303,0.31495333349534355
8,mean,0.795532531351237,0.33095465751668107,0.240980969199359,0.27988021363864507,0.6861672375850851,0.2662054122442922
9,variance,0.548875790287919,0.3611327283028851,0.45117585842551794,0.3020260532177586,0.58943586611426,0.297714437792593
10,rbm,0.18484986649627433,0.24409406606627973,0.7852920900121817,0.3594102429811491,0.1735721752152202,0.24105117372842183
11,flipped_rbm,0.7860645740482765,0.35934971507712227,0.18412886450569224,0.24419381149573044,0.7421135953375914,0.23090110928292362
12,rbm_flip_detection,0.7790839064913802,0.3651327368646481,0.1911094602448739,0.2524587289999365,0.7355808294467263,0.23901814303998992
13,rbm_ideal,0.7871250382920119,0.358840841581813,0.18306810137034887,0.24231689854295219,0.7455667745120836,0.22288016632873273
