,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.618839581020047,0.446275098561502,0.20172767487013146,0.29596216495533534,0.7707220292454757,0.23654107636755553
1,deeplift,0.6199145586600534,0.44557110074211304,0.20975058686107972,0.29063905403725354,0.7794672902142771,0.2173930997771867
2,lime,0.8334759332365727,0.3184551353424347,0.2022584356800697,0.22263384425983096,0.7628331604213787,0.22645806853304679
3,saliency,0.4977616644569838,0.3482450640371019,0.36913797721161645,0.3354966187392249,0.5985592376424947,0.27730539848179614
4,smoothgrad,0.599648895264406,0.26134090314476655,0.3883618755535104,0.3004102686813694,0.59238642336615,0.2895408300105633
5,integrated_gradients,0.6667240140368856,0.44609995520170254,0.16610043274754388,0.2693890556626789,0.8156574854682678,0.19991551815688358
6,guidedbackprop,0.519196735675078,0.38766752147383027,0.5632099156904565,0.39037257230740335,0.4428997624415513,0.3403814153259315
7,gray_image,0.4937646750039534,0.3452022688291738,0.5773056701156376,0.3562967819529704,0.4268020123794426,0.3204095086208123
8,mean,0.797451391186576,0.3561214370401275,0.21223826804614465,0.2665386400877958,0.681893884195418,0.2646635177922305
9,variance,0.552198019842991,0.357033550478411,0.447934967921195,0.3049617734544914,0.5771658126840832,0.29478762950236276
10,rbm,0.3494217085491825,0.3509864834730007,0.5976078607263672,0.35998964195627015,0.31377908070857824,0.27354330845089153
11,flipped_rbm,0.5983832247738017,0.3599381421163223,0.34867275409141285,0.35108387117941864,0.613569850303972,0.31289122577347606
12,rbm_flip_detection,0.6030031655312348,0.35925707074065927,0.34405336292544325,0.34843543856109377,0.6069857472683073,0.3137106154086411
13,rbm_ideal,0.6680777127252459,0.35514565618796606,0.2789771643440754,0.28680521134309683,0.6739271662350653,0.24977145036386406
