,method,insert mean,insert std,delete mean,delete std,irof mean,irof std
0,gradientshap,0.5656051768320731,0.3895133358761048,0.19059403800415248,0.26739112097641154,0.7297465905681373,0.23510928525197566
1,deeplift,0.5807508826055882,0.3818575843040542,0.2026602103284646,0.27131038065108604,0.7341733761063186,0.23431783356108615
2,lime,0.7575611647766818,0.2926290342494867,0.23364013164830058,0.2328214907637082,0.7575749366780742,0.22141362133282097
3,saliency,0.4849194669796422,0.3251122212832778,0.30649216329438045,0.2736724722929229,0.647247164545953,0.2502398408622435
4,smoothgrad,0.6143085750382462,0.2578177570223421,0.34912430715756554,0.2793910207841889,0.6357865859855759,0.26040009955423166
5,integrated_gradients,0.6075097947947569,0.3913609289077352,0.1707763875172466,0.2529661938914942,0.75232302052035,0.22605443748190063
6,guidedbackprop,0.5155720250878852,0.35982522259284977,0.4695633331627968,0.34013522432684123,0.655036446198025,0.245491059852891
7,gray_image,0.4820364807770838,0.31902450344330513,0.5130987724640212,0.32923036126163235,0.472792850109527,0.2997150665298387
8,mean,0.7714154382635607,0.30929676205436984,0.21130357879025513,0.2644219312022052,0.7051668991618132,0.26009356800417704
9,variance,0.7702219987007911,0.3122332011132432,0.20633352665178423,0.2603161131360912,0.709425735937863,0.25737806727939505
10,rbm,0.15279780498274084,0.21278171698666978,0.7355144309291207,0.34820568187536766,0.22870433785066302,0.2001922417763219
11,flipped_rbm,0.7363235364762182,0.34815016349247324,0.15201593632165983,0.21285606540612312,0.7608269219212315,0.22070826543806032
12,rbm_flip_detection,0.7363235364762182,0.34815016349247324,0.15201593632165983,0.21285606540612312,0.7608269219212315,0.22070826543806032
13,rbm_ideal,0.737086800319798,0.3473432598426123,0.15125199616068236,0.2120758294995307,0.7627985585628249,0.21825666750686257
